FID,latitude,longitude,country_na,event_date,event_time
426,12.5128211,99.25916693,Myanmar,1970/01/01 00:00:00+00, 
427,12.70102718,98.94968436,Myanmar,1970/01/01 00:00:00+00, 
428,12.69804379,98.9466613,Myanmar,1970/01/01 00:00:00+00, 
429,13.35708544,99.11720241,Myanmar,1970/01/01 00:00:00+00, 
430,13.35752002,99.11830259,Myanmar,1970/01/01 00:00:00+00, 
431,13.25186749,99.02800431,Myanmar,1970/01/01 00:00:00+00, 
432,26.05263757,97.22355064,Myanmar,1970/01/01 00:00:00+00, 
433,26.09144328,97.23225513,Myanmar,1970/01/01 00:00:00+00, 
434,26.07097444,97.69905370000001,Myanmar,1970/01/01 00:00:00+00, 
435,27.02259862,95.89027452,Myanmar,1970/01/01 00:00:00+00, 
436,21.1055306,98.91286481,Myanmar,1970/01/01 00:00:00+00, 
437,14.97724802,97.94430248,Myanmar,1970/01/01 00:00:00+00, 
438,15.12889074,97.96131207,Myanmar,1970/01/01 00:00:00+00, 
439,15.15330452,97.95392559,Myanmar,1970/01/01 00:00:00+00, 
440,15.15216848,97.95265571,Myanmar,1970/01/01 00:00:00+00, 
441,15.15100504,97.95217765,Myanmar,1970/01/01 00:00:00+00, 
442,15.15201962,97.9354772,Myanmar,1970/01/01 00:00:00+00, 
443,15.19381486,97.92339454,Myanmar,1970/01/01 00:00:00+00, 
444,15.17889822,97.92853805,Myanmar,1970/01/01 00:00:00+00, 
445,15.177581400000001,97.91106599,Myanmar,1970/01/01 00:00:00+00, 
446,15.13760816,97.94287351,Myanmar,1970/01/01 00:00:00+00, 
447,15.13657585,97.95329844,Myanmar,1970/01/01 00:00:00+00, 
448,15.13736123,97.95555857,Myanmar,1970/01/01 00:00:00+00, 
449,15.16291659,97.97818312,Myanmar,1970/01/01 00:00:00+00, 
450,15.14017619,97.96994649,Myanmar,1970/01/01 00:00:00+00, 
451,15.13764051,97.96816652,Myanmar,1970/01/01 00:00:00+00, 
452,15.13522049,97.96540326,Myanmar,1970/01/01 00:00:00+00, 
453,21.19314744,93.79518055,Myanmar,1970/01/01 00:00:00+00, 
454,19.04288986,94.66901461,Myanmar,1970/01/01 00:00:00+00, 
455,11.82228883,98.11843033,Myanmar,1970/01/01 00:00:00+00, 
456,11.82524205,98.12243472,Myanmar,1970/01/01 00:00:00+00, 
457,11.82556404,98.11535599, ,1970/01/01 00:00:00+00, 
459,27.67978184,85.7300858,Nepal,2017/08/18 00:00:00+00, 
463,10.116093300000001,77.1496325,India,2018/08/17 00:00:00+00, 
466,7.094308,125.60468,Philippines,2017/09/07 00:00:00+00,18:00
467,28.545123999999998,83.647074,Nepal,2017/09/25 00:00:00+00, 
469,9.75,122.5,Philippines,2007/07/11 00:00:00+00, 
471,4.849,100.7599,Malaysia,2015/02/18 00:00:00+00,20:00
472,28.4202,84.8996,Nepal,2015/05/03 00:00:00+00, 
473,35.3544,73.0208,Pakistan,2007/07/07 00:00:00+00, 
474,-6.25,106.1,Indonesia,2007/02/06 00:00:00+00, 
482,24.7679,93.4108,India,2010/10/08 00:00:00+00, 
483,27.9706,83.397,Nepal,2013/07/22 00:00:00+00, 
486,28.1855,83.6527,Nepal,2016/07/27 00:00:00+00,01:00
490,-6.621,106.7306,Indonesia,2010/11/15 00:00:00+00, 
494,32.8852,130.9915,Japan,2016/04/16 00:00:00+00, 
495,18.25,105.686,Vietnam,2008/10/30 00:00:00+00, 
498,27.7908,84.4783,Nepal,2015/04/28 00:00:00+00,15:00
502,25.318,94.0441,India,2013/08/09 00:00:00+00, 
504,27.0165,88.2476,India,2015/06/13 00:00:00+00,06:00
506,24.5938,72.7308,India,2015/07/28 00:00:00+00, 
507,24.9926,93.4946,India,2013/05/12 00:00:00+00, 
508,26.1665,91.7049,India,2013/10/06 00:00:00+00, 
509,29.1657,81.5631,Nepal,2011/08/14 00:00:00+00, 
510,26.3335,94.5512,India,2010/06/15 00:00:00+00, 
514,33.4372,75.2027,India,2013/02/22 00:00:00+00, 
517,0.6185,122.848,Indonesia,2013/12/22 00:00:00+00,09:00
520,2.7325,102.0987,Malaysia,2009/03/01 00:00:00+00,18:00
522,26.7225,95.0281,India,2010/07/06 00:00:00+00, 
524,29.5866,80.2154,India,2016/08/05 00:00:00+00,23:00
525,23.8396,120.9876,China,2012/06/10 00:00:00+00, 
530,24.6108,92.56200000000001,India,2015/02/19 00:00:00+00,23:00
537,30.56,77.3,India,2008/09/19 00:00:00+00, 
539,27.256,90.5257,Bhutan,2012/04/06 00:00:00+00,23:00
540,3.1618,101.6983,Malaysia,2013/05/08 00:00:00+00,19:00
541,24.0896,91.4663,India,2013/05/08 00:00:00+00, 
542,6.0202,116.4955,Malaysia,2014/11/05 00:00:00+00,08:00
548,16.8256,121.1444,Philippines,2011/07/27 00:00:00+00,18:00
549,27.4385,87.0898,Nepal,2008/08/31 00:00:00+00, 
551,27.8595,83.7711,Nepal,2013/06/18 00:00:00+00, 
554,-8.1431,111.2896,Indonesia,2010/05/24 00:00:00+00, 
555,13.4,123.3667,Philippines,2007/10/29 00:00:00+00, 
557,34.209,74.3524,India,2014/04/15 00:00:00+00, 
558,31.0766,77.3916,India,2011/08/07 00:00:00+00, 
