landslide,forest2,ARI3,osm,slope
1,1,0.468827925,1690,4.99
1,1,0.128158736,2073,4.878
1,1,0.034723134,2087,11.298
1,1,2.069234029,2088,0.0
1,1,0.161410074,2094,4.782
1,1,3.584882688,2446,7.0539999999999985
1,1,3.886613595,2524,14.465
1,1,1.279388858,2555,29.035
1,1,0.264585779,2560,21.239
1,1,0.984849314,2756,18.294
1,1,3.939946978,2778,26.08
1,1,0.267327631,3810,0.0
1,1,6.391289968,3838,3.06
1,1,0.531817415,3854,4.94
1,1,0.026642318,3855,0.0
1,1,8.047362204,3855,4.022
1,1,0.5140313710000001,3871,24.964
1,1,0.768033718,3874,16.908
1,1,0.0,3884,16.464000000000002
1,1,0.006374657,3890,15.049
1,1,1.683059536,3895,9.276
1,1,7.60362568,3897,18.99
1,1,2.182832673,3902,0.522
1,1,4.1412819060000015,3916,14.345
1,1,0.004134153,3923,15.345999999999998
1,1,3.497465136,3923,0.0
1,1,2.040865303,3926,19.521
1,1,1.269880869,3927,23.927
1,1,0.004134153,3929,5.9860000000000015
1,1,0.868502818,3941,21.541
1,1,0.012149347,232,18.173
1,1,1.230751722,237,24.94
1,1,0.8294662909999999,899,30.007
1,1,1.913018175,914,7.885
1,1,1.125710493,951,13.611
1,1,1.2602551359999998,962,11.209
1,1,0.17068370100000002,964,0.0
1,1,0.910432314,1014,15.329
1,1,2.75516291,1255,27.676
1,1,5.880619542000001,1264,3.168
1,1,1.414851827,1282,28.385
1,1,2.640693938,1283,0.0
1,1,0.8832204020000001,1302,22.251
1,1,0.66771236,2407,0.0
1,1,0.121268482,2429,10.28
1,1,2.184329967,2456,13.255
1,1,1.059233691,2583,2.983
1,1,4.612224718,2592,1.319
1,1,15.35360074,2655,2.583
1,1,0.383707501,2679,26.165
1,1,5.6404532010000015,2686,30.41
1,1,0.7079900709999999,2743,32.251999999999995
1,1,1.2384084359999998,2819,13.257
1,0,0.0,2821,5.697
1,1,3.041414649,2895,0.0
1,1,6.254724184,2900,0.0
1,1,0.048966743,3023,0.0
1,1,0.402636108,3027,20.101
1,1,0.16950026399999998,3249,16.122
1,1,1.663369719,3696,23.29
